region,area,sektor,target_count
Makassar,SME Banking Center Makassar,Pertanian dan Perkebunan,7
Makassar,SME Banking Center Makassar,Industri Pengolahan,4
Makassar,SME Banking Center Makassar,Konstruksi,2
Makassar,SME Banking Center Makassar,Perdagangan,4
Makassar,SME Banking Center Makassar,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Makassar,SME Banking Center Makassar,Lainnya,3
Makassar,SME Banking Floor Makassar Sam Ratulangi,Pertanian dan Perkebunan,2
Makassar,SME Banking Floor Makassar Sam Ratulangi,Industri Pengolahan,5
Makassar,SME Banking Floor Makassar Sam Ratulangi,Konstruksi,2
Makassar,SME Banking Floor Makassar Sam Ratulangi,Perdagangan,3
Makassar,SME Banking Floor Makassar Sam Ratulangi,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Makassar,SME Banking Floor Makassar Sam Ratulangi,Lainnya,2
Makassar,SME Banking Floor Palu,Pertanian dan Perkebunan,5
Makassar,SME Banking Floor Palu,Industri Pengolahan,3
Makassar,SME Banking Floor Palu,Konstruksi,1
Makassar,SME Banking Floor Palu,Perdagangan,1
Makassar,SME Banking Floor Palu,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Makassar,SME Banking Floor Palu,Lainnya,1
Makassar,SME Banking Floor Pare Pare,Pertanian dan Perkebunan,3
Makassar,SME Banking Floor Pare Pare,Industri Pengolahan,3
Makassar,SME Banking Floor Pare Pare,Konstruksi,1
Makassar,SME Banking Floor Pare Pare,Perdagangan,2
Makassar,SME Banking Floor Pare Pare,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Makassar,SME Banking Floor Pare Pare,Lainnya,1
Makassar,SME Banking Desk Luwuk,Pertanian dan Perkebunan,1
Makassar,SME Banking Desk Luwuk,Industri Pengolahan,2
Makassar,SME Banking Desk Soroako,Industri Pengolahan,2
Makassar,SME Banking Desk Morowali,Industri Pengolahan,1
Manado,SME Banking Floor Maluku,Pertanian dan Perkebunan,3
